data,link
2022-04-07T21:29:01-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220285058170000180650030006186761006228125|2|1|1|F9874AF179368A6401402D42AE02D41ABE4DDCEA"
2022-04-07T21:29:23-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220384831478000153650010020099111392449496|2|1|1|E5547F90E705627F449B0CF0BD0A4B6632E9775F"
2022-04-07T21:29:35-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378413325001750650730000757311882017043|2|1|1|211673E9A7480BBAD1D8B7502864E4BDBADF3C2A"
2022-04-07T21:29:54-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220283646984009670651080000890841862956178|2|1|1|9C1009EF265C734645F5873CF1657A9013D98AE5"
2022-04-07T21:30:59-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220342591651103546650000001883081306578960|2|1|1|FA35EB4E9AD11216B9EC11BA218B47BAB4DC7B3C"
2022-04-07T21:31:13-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378413325001750650670001131851625481620|2|1|1|CB1760F92B3C1C5896ED716F25B213621D99C36A"
2022-04-07T21:31:49-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220300776574158370653050000080201770767176|2|1|1|1b91fee0ddcb98081e6a01c9a8d95df5b213478e"
2022-04-07T21:32:04-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220278413325001750650730000722351913266354|2|1|1|7DEC3A69FE00499A8ED2743AF553E3497D8CF690"
2022-04-07T21:32:25-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220378413325001750650620000269541261787892|2|1|1|F8B893384BEB1525E5CA1AA47CAB3989D0ED84CA"
2022-04-07T21:33:02-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220424405054000529655020000034731190356393|2|1|1|5d06935400950574a38abf57e4aa68e9ae3399bf"
2022-04-10T12:40:10-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220403252773000153650100002738111027417315|2|1|1|6CC06D8786EEEA2A87D7FB6F12958993D17C6E53"
2022-04-10T13:26:35-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220476189406002250651160003879361101325427|2|1|1|DAC80DC7419A659B09F6F2D675F76315821B45A7"
2022-04-10T14:27:00-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220476189406002170651070002779601101426273|2|1|1|DD5BF7BCAB78646CF6B81BCEDF7D053C8BEE09FE"
2022-04-12T18:08:11-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220404565686000119650260000942051013560311|2|1|2|5EAFD5169FBF0D2EB1B5058ADC525C414C949E0A"
2022-04-14T19:46:48-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220478116670001480650020003870561004917916|2|1|1|E4E47986A577D8A5F443371CB3225DE1968742F5"
2022-04-17T17:30:33-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220432973482000314650050000856811009029813|2|1|2|51B4E8D42757407FB3F9886FE44BAC7FAB5F494F"
2022-04-18T15:32:36-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220476189406002250651120003812701181531410|2|1|1|476ED4267450EA193B64F673B7A599A668B992DB"
2022-04-20T13:12:45-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220478413325001750650670001199221713318806|2|1|1|0ED804F575A3307613962E3A55E1E351BD42A879"
2022-04-23T20:58:55-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220413574594103327650010003885131155694248|2|1|2|1512C672593A2B9CF7F6D1E8DD3C9907F60D7849"
2022-04-26T18:14:39-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220476189406002250651080003093791261814266|2|1|1|5BD17E640A75F0DBBF5F7778CC9FE881001E29B2"
2022-04-29T20:59:55-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220410302127000461651040000376231290437639|2|1|1|232765B7F82CFCCF4C92BE97055696DDC8740F3A"
2022-05-02T08:18:29-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220430275160000104650010002587741002590262|2|1|1|054AB8D1C2FE7DAAC82B459FA284BFFF6F3465F5"
2022-05-02T08:22:35-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220410302127000461651040000376231290437639|2|1|1|232765B7F82CFCCF4C92BE97055696DDC8740F3A"
2022-05-02T08:25:42-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220478116670001480650140002331911000802301|2|1|1|18FC54FD7E44CA29CF51872EE5DFF0E3307C4230"
2022-05-02T08:25:56-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220478116670001480650140002331911000802301|2|1|1|18FC54FD7E44CA29CF51872EE5DFF0E3307C4230"
2022-05-02T17:11:07-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220530275160000104650010002614261002616786|2|1|1|405BF7D782084E321BF6D556E47077E335A18A15"
2022-05-02T19:38:15-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578149168000150650310001318341019488412|2|1|1|00594D6C8F274B468115702A7446346670C89C0E"
2022-05-03T12:28:50-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578413325001750650660000140581816146930|2|1|1|2CA13A2DFFEC82B6F5380D6ED1D625CF9D2E691E"
2022-05-08T19:33:14-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220576189406002250651160003910901081932515|2|1|1|8172512119B92F5F4BBCF8D1E4FF617D304FD593"
2022-05-09T09:39:03-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578116670001480650060004804001003030990|2|1|1|CD2758C8EC7B844E48E577035DE8DA7BDAB8FD04"
